Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;AK_D05_06_org.mp4;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Znaki nakazu i zakazu;W tej sytuacji masz obowiązek zatrzymać pojazd. Jest to związane z obecnością znaku B-20 („Stop”), który nakazuje zatrzymanie się przed wjazdem na skrzyżowanie. Zgodnie z przepisami, należy zatrzymać się w wyznaczonym miejscu, a w przypadku jego braku, w miejscu, które zapewnia dobrą widoczność i nie utrudnia ruchu na drodze z pierwszeństwem.;;;;Tak;3;art. 3 ust. 1 pkt oraz art. 26 ust. 6 ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.);Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji;struk
Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;AK_D10_30_org.mp4;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Znaki nakazu i zakazu;W tej sytuacji masz obowiązek zatrzymać pojazd. Jest to wymagane przepisami prawa o ruchu drogowym, które nakazują kierowcom zatrzymywanie się przed przystankami tramwajowymi bez wysepki, aby zapewnić bezpieczeństwo pieszym wsiadającym i wysiadającym z tramwajów.;;;;Tak;3;Art. 3 ust. 1 i art. 26 ust. 6 ustawy PRD;Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji;PODSTAWOWY
Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?;AK_D11_43org.mp4;AK_D11_43org.mp4;Znaki nakazu i zakazu;W tej sytuacji masz obowiązek zatrzymać pojazd. Przed przystankami tramwajowymi bez wysepki kierowcy muszą zatrzymać się, aby umożliwić pieszym bezpieczne wsiadanie i wysiadanie z tramwaju. To wymaganie ma na celu ochronę pieszych i zapobieganie wypadkom drogowym.;;;;Nie;3;Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD;Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia;PODSTAWOWY
Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?;AK_D11_45org.mp4;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Znaki nakazu i zakazu;W tej sytuacji nie masz prawa kontynuować jazdy. Znak B-20 („Stop”) nakazuje bezwzględne zatrzymanie się przed wjazdem na skrzyżowanie. Kierowca musi zatrzymać pojazd w wyznaczonym miejscu lub w takim, które zapewnia dobrą widoczność drogi z pierwszeństwem przejazdu. Przepisy nakazują zachowanie szczególnej ostrożności i ustąpienie pierwszeństwa pojazdom znajdującym się na drodze z pierwszeństwem.;;;;Nie;3;Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD;Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia;PODSTAWOWY
Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?;;C;Szczególna ostrożność;Należy zachować odległość nie mniejszą niż 500 metrów między jadącymi kolumnami samochodów ciężarowych. Przepis ten ma na celu zwiększenie bezpieczeństwa na drodze, umożliwienie innym pojazdom swobodnego wyprzedzania oraz zapewnienie odpowiedniego marginesu bezpieczeństwa podczas jazdy w kolumnach.;Nie mniejszą niż 800 metrów.;Nie mniejszą niż 500 metrów.;Nie mniejszą niż 200 metrów.;B;3;Art 32 ust..2 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2012 poz. 1137.);Niewlaściwy odstęp - zagrożenie;PODSTAWOWY
Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?;;C;Technika jazdy;Kierując samochodem ciężarowym, aby zachować bezpieczny odstęp od poprzedzającego pojazdu, jesteś zobowiązany uwzględnić prędkość pojazdów. Wpływa to na możliwość bezpiecznego zatrzymania się i uniknięcia kolizji w razie nagłego hamowania przez pojazd przed Tobą.;Prędkość pojazdów.;Moc silnika.;Szerokość pojazdów.;A;3;art 19 ust. 1 i 2 pkt 3 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.);Niewłaściwy odstęp - zagrożenie.;SPECJALISTYCZNY
Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?;IMG_4251orgbm.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Znaki nakazu i zakazu;Na jezdni oznaczonej znakiem D-3 („droga jednokierunkowa”) nie wolno zawracać. Znak ten wskazuje, że ruch pojazdów odbywa się tylko w jednym kierunku, co oznacza, że zawracanie na tej drodze jest zabronione.;;;;Nie;1;"Art. 22 ust. 6 pkt 1 ustawy ""Prawo o ruchu drogowym""(Dz. U. z 2013 poz. 1137, z późn. zm.) i dodanie w do § 44 ust. 1 w rozporządzeniu w sprawie znaków i sygnałów drogowych";Znajomość zasad zawracania ma istotne znaczenie dla bezpieczeństwa ruchu drogowego;SPECJALISTYCZNY
Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?;3106D15_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone. Zgodnie z przepisami ruchu drogowego, po sygnale żółtym następuje sygnał zielony, który zezwala na kontynuowanie jazdy. Oczekiwanie na zmianę sygnału świetlnego jest standardową procedurą.;;;;Tak;3;§ 95 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).;Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia;PODSTAWOWY
Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?;0118D14MM_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji nie wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem. Sygnalizator S-2 zezwala na skręt w prawo tylko wtedy, gdy kierowca zatrzyma się przed sygnalizatorem i upewni się, że nie utrudnia ruchu innym uczestnikom.;;;;Nie;3;§ 96 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).;Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia;PODSTAWOWY
Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?;2064D14MM_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu nie zezwala na zawracanie. Sygnał zielony nadawany przez sygnalizator kierunkowy oznacza tylko, że podczas jazdy we wskazanym kierunku nie ma kolizji z innymi uczestnikami ruchu. Zawracanie jest dozwolone tylko, gdy sygnalizator lub oznakowanie wyraźnie to umożliwia.;;;;Nie;3;§ 97 rozporządzenie Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).;Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia;PODSTAWOWY
Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?;066D16_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu. Sygnał zielony strzałkowy (S-3d) wskazuje, że skręt w prawo jest bezkolizyjny i bezpieczny, co oznacza, że nie będzie konfliktu z innymi pojazdami ani pieszymi.;;;;Tak;3;§ 97 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.);Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia;PODSTAWOWY
Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?;IMG_0325_9550d5_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji nadawany sygnał świetlny nie zezwala na wjazd za sygnalizator. Sygnał czerwony oznacza bezwzględny zakaz wjazdu za sygnalizator, co jest jednoznaczne z koniecznością zatrzymania się przed nim i oczekiwania na sygnał zielony.;;;;Nie;3;§ 95 i § 97 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.);Nieznajomość znaczenia znaków i sygnałów drogowych prowadzi do ich nieprzestrzegania, co powoduje realne zagrożenie bezpieczeństwa i wiele wypadków drogowych;PODSTAWOWY
Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?;0084D18_a_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Sygnalizacja świetlna;W tej sytuacji nie wolno Ci skręcić w prawo, nawet jeśli nie spowodujesz tym utrudnienia ruchu. Sygnalizator S-3c, który jest sygnalizatorem kierunkowym na wprost, nadaje sygnały tylko dla pojazdów jadących na wprost. Skręt w prawo w tej sytuacji jest zabroniony.;;;;Nie;3;§ 97 rozporządzenie Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).;Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia;PODSTAWOWY
Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?;IMG_9324_org.jpg;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Znaki poziome;W tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost. Znak poziomy P-1 (linia pojedyncza przerywana) oznacza, że można zmieniać pas ruchu. Należy jednak pamiętać o sygnalizowaniu zmiany pasa kierunkowskazem i upewnieniu się, że manewr jest bezpieczny.;;;;Tak;1;§ 86 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393 ze. zm.);Znajomość i stosownie sie do znaku poziomego P-1 pozwala na podejmowanie odpowiednich decyzji i unikanie sytuacji zagrażajacych bezpieczenstwu lub porządkopwi ruchu;PODSTAWOWY
